,0,1,2,3,4,5,6,7
156,2.0,7.0,2.0,0.0,0.0,0.0,0.0,2.0
157,2.0,7.0,2.0,0.0,0.0,0.0,0.0,2.0
158,2.0,7.0,1.0,0.0,0.0,121.0,0.0,2.0
159,2.0,9.0,2.0,0.0,0.0,0.0,0.0,2.0
160,2.0,7.0,1.0,0.0,0.0,100.0,0.0,2.0
161,2.0,7.0,2.0,0.0,0.0,121.0,0.0,2.0
162,2.0,6.0,2.0,0.0,0.0,100.0,0.0,2.0
163,2.0,7.0,2.0,0.0,0.0,100.0,0.0,2.0
164,2.0,6.0,1.0,0.0,0.0,1.0,0.0,2.0
165,2.0,6.0,1.0,0.0,0.0,1.0,0.0,2.0
166,2.0,6.0,2.0,0.0,0.0,100.0,0.0,2.0
167,2.0,9.0,2.0,0.0,0.0,0.0,0.0,2.0
168,2.0,6.0,1.0,0.0,1.0,0.0,0.0,2.0
169,2.0,7.0,2.0,0.0,0.0,0.0,0.0,2.0
170,2.0,5.0,1.0,0.0,0.0,0.0,0.0,2.0
171,1.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0
172,2.0,5.0,2.0,0.0,0.0,1.0,0.0,2.0
173,2.0,7.0,3.0,0.0,0.0,0.0,0.0,2.0
174,2.0,5.0,2.0,0.0,0.0,121.0,0.0,2.0
175,2.0,6.0,2.0,0.0,0.0,0.0,0.0,2.0
176,2.0,7.0,2.0,0.0,0.0,100.0,0.0,2.0
177,2.0,7.0,2.0,0.0,0.0,0.0,0.0,2.0
178,2.0,6.0,2.0,0.0,0.0,100.0,0.0,2.0
179,2.0,7.0,2.0,0.0,1.0,100.0,0.0,2.0
180,2.0,7.0,1.0,0.0,0.0,101.0,0.0,2.0
181,2.0,8.0,2.0,0.0,0.0,0.0,0.0,2.0
182,2.0,7.0,1.0,0.0,0.0,0.0,0.0,2.0
183,2.0,6.0,1.0,0.0,0.0,0.0,0.0,2.0
184,2.0,5.0,1.0,0.0,0.0,121.0,0.0,2.0
185,2.0,5.0,3.0,0.0,0.0,100.0,0.0,2.0
186,2.0,6.0,2.0,0.0,0.0,100.0,0.0,2.0
187,2.0,8.0,1.0,0.0,1.0,100.0,0.0,2.0
188,2.0,8.0,1.0,0.0,0.0,100.0,0.0,2.0
189,2.0,5.0,1.0,0.0,0.0,100.0,0.0,2.0
190,2.0,6.0,1.0,0.0,0.0,0.0,0.0,2.0
191,2.0,8.0,2.0,0.0,0.0,101.0,0.0,2.0
192,2.0,3.0,1.0,0.0,1.0,1.0,0.0,2.0
